Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 53571","Specimen/Lot","Gorgonia ventalina ? Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","1972","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Larson, R. J.","27 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay, 100 Yard North Of North End","","","","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","1 to 1.5","","","","","","300990","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3fe3fb87a-b4d5-4c45-b5eb-808f34e4741b"
"USNM 53563","Specimen/Lot","Gorgonia ventalina ? Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","1972","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Larson, R. J.","30 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay, 50 Yards off S. end, coral heads, sand.","","","","CCRE - Caribbean Coral Reef Ecosystems, Belize","","","","","3 to 4","","","","","","300990","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/372c58ee0-d810-4968-91a1-376130cc5ba5"
"USNM 4082","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Rathbun, R.","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",0,"","Dry","","Langston, J. M.","","","North Atlantic Ocean","Caribbean Sea","","Haiti","","","","","","","","","","","","","","","","","","","000000","","","","","","","","","25 Feb 2025 18:13:00","http://n2t.net/ark:/65665/384ea078a-d9ec-41f2-8b01-569c1efcde43"
"USNM 42144","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","NOT REC.","United States Fish Commission","1898","","North Atlantic Ocean","Caribbean Sea","","Puerto Rico","","","","Playa De Ponce Reef","","","","Puerto Rico Expedition 1898-1899","Fish Hawk R/V","","","","","","","","","","000000","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/31a8b8358-ad72-4f41-b680-2b54fc6a0996"
"USNM 50221","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","1116B","Hummelinck, P. W.","15 Jul 1949","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","St. Eustatius Island, Gallows Bay, Southern Part Of Bay","","","","","","","","","2","","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/32b592c84-0c70-4fef-a479-83f58ffbeb82"
"USNM 50222","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Alcohol (Ethanol); Dry","1124","Hummelinck, P. W.","2 Jun 1949","","North Atlantic Ocean","Caribbean Sea","","St. Barthelemy","","","","Fourche Island","","","","","","","","","","Intertidal","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3e29ef0b2-04d4-4b39-acc8-365a9c7f0d8d"
"USNM 50261","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Alcohol (Ethanol); Dry","","Doochin, H.","27 Apr 1948","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Dry Tortugas, Bush Key","","","","","","","","","11 to 13","","","","","","178792","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/37cd43b70-dba3-47cb-95ed-f4c9a16f79fd"
"USNM 50346","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","May 1956","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","106-56","","13 Apr 1956","Dredge","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","Saba Bank",17.47,-63.22,"","Smithsonian - Bredin Caribbean Expedition","Freelance R/V","","","","13","","","","","","208263","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/389fc0f20-961a-4d27-a16b-fc19a8d0e54d"
"USNM 50347","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","May 1956","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","103-56","Schmitt, W. L.; Chace, F. A.; Nicholson, D. V.","12 Apr 1956","","North Atlantic Ocean","Caribbean Sea","","St. Kitts and Nevis","","","","St. Kitts (St. Christopher), windward beach opposite Frigate Bay, coral reef just off shore","","","","Smithsonian - Bredin Caribbean Expedition","Freelance R/V","","","","","","","","BREDIN/103-56","","208263","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3e79197ac-05c5-43c4-98c9-7204f00b7380"
"USNM 50348","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","112-56","Schmitt, W. L.; Chace, F. A.; Nicholson, D. V.","15 Apr 1956","","North Atlantic Ocean","Caribbean Sea","","British Virgin Islands","","","","Virgin Gorda, Colquhoun Reef, entrance to North Sound","","","","Smithsonian - Bredin Caribbean Expedition","Freelance R/V","","","","","","","","BREDIN/112-56","","208263","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/314a96cfb-cb4b-43d4-b017-3dfa94fae352"
"USNM 50663","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","Rhipidogorgia flabellum (Linnaeus, 1758)","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Steenberghe, F. F.","May 1869","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","Curacao",12.1667,-69,"","","","","","","","","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/37717b094-066a-465e-abb0-ccead528ebd3"
"USNM 50664","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","Rhipidogorgia flabellum (Linnaeus, 1758)","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","van Koolwijk, A. J.","1880","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","Aruba","","","","","","","","","","","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3dfb6ce7c-605f-4a84-b5a8-2e13b1701aaf"
"USNM 50670","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","6","Nicol, D.","7 Jul 1956","","North Atlantic Ocean","","","Bermuda","","","","George's Island, Ferry Point, Rocky Shore At West End Of Strait","","","","","","","","","2","","","","","","212313","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/38f59f190-2024-4ed7-b258-52e61343504d"
"USNM 50671","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","22","Nicol, D.","20 Jul 1956","","North Atlantic Ocean","","","Bermuda","","","","Outer Reefs, 8 Mile Northern Shore","","","","","","","","","5","","","","","","212313","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3679d0a24-be17-4f76-9ab0-462c11b9fd89"
"USNM 50758","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","9","Shoemaker, C. R.","10 Jul 1915","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. Thomas Island, Great St. James Island",18.35,-64.9331,"","","","","","","5","","","","","","000000","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3bcdd8321-160f-4113-8ca4-a28cdf4e2add"
"USNM 51352","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Zaneveld, J. S.","9 Jan 1955","","North Atlantic Ocean","Caribbean Sea","","Netherlands Antilles","","","","Curacao, Klein Berg","","","","","","","","","","","","","","","189993","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3dd6ae846-2e6e-4f50-921b-9f4b36a5be8a"
"USNM 51406","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Fontaine, A.","19 Jun 1953","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","Lime Cay Banks","","","","","","","","","","","","","","","227105","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3dfff8615-f2fd-4595-b5ba-920a31f25ced"
"USNM 51422","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","42-59","","12 Apr 1959","Aqua Lung","North Atlantic Ocean","Caribbean Sea","","Trinidad and Tobago","","","","Tobago Island, Milford Bay, between Pigeon Point and Crown Point","","","","Smithsonian - Bredin Caribbean Expedition","Caribee R/V","","","","9 to 12","","","","BREDIN/42-59","","223851","","","","","","","","","08 Oct 2024 16:36:00","http://n2t.net/ark:/65665/3714b2034-1c5c-4f1e-9b6d-c5e17008134c"
"USNM 51440","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Hildebrand, H. H.; Compton, H.","Jul 1959","","North Atlantic Ocean","Gulf of Mexico","","Mexico","Yucatan","","","Campeche Bank, Alacran Reef, Perez Island","","","","","","","","","1 to 3","","","","","","227964","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3abb5da28-d552-46d4-967f-53b674db4fc7"
"USNM 51556","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Alcohol (Ethanol); Dry","","Chess, T.","4 Jan 1960","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island, Cabrittehorn Point","","","","","","","","","12","","","","","","229953","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/363bd3e62-9d8d-4b32-9553-c25ec282d1bd"
"USNM 51746","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Schroeder, R. E.","Nov 1960","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island, South Shore","","","","","","","","","","","","","","","232671","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3d98f0785-a5b2-4ee8-b7f9-79399d53e8da"
"USNM 51838","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Schroeder, R. E.","Nov 1960","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island, South Shore","","","","","","","","","","","","","","","232671","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3b6b5c558-f569-4c7b-828e-6d61eb2eb194"
"USNM 51839","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Schroeder, R. E.","Nov 1960","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island, South Shore","","","","","","","","","","","","","","","232671","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/3da57d969-f82f-47e4-b46e-af759e8a3d7f"
"USNM 51840","Specimen/Lot","Gorgonia ventalina Linnaeus, 1758","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Gorgonia ventalina Linnaeus, 1758 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Schroeder, R. E.","Nov 1960","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island, South Shore","","","","","","","","","","","","","","","232671","","","","","","","","","05 Jun 2023 16:23:00","http://n2t.net/ark:/65665/393237bb6-4633-45c6-84ca-c3ed6a1952ae"
