"","Catalog.Number","Kind.of.Object","Scientific.Name","Family","Phylum","Class","Order","Identified.By","Date.Identified","Current.Identification","Other.Identifications","Type.Status","Type.Citations","Kind.of.Voucher","Classification","Common.Name","Collection.Name","Specimen.Count","Sex.and.Stage","Preparation.Details..Preparation.Remarks.","Station.Number","Collector.s.","Date.Collected","Collection.Method","Ocean","Sea.Gulf","Bay.Sound","Country","Province.State","District.County","City.Town","Precise.Locality","Centroid.Latitude","Centroid.Longitude","Elevation..m.","Expedition.Name","Vessel","Cruise","River.Basin","Microhabitat.Description","Depth..m.","Depth.Notes","Geologic.Age","Notes","Field.Number.s.","Other.Numbers..Type...Value.","Accession.Number","Genetic.Sample.Type","Biorepository.Number","Specimen.Voucher.Number","Bold.ID","GenBank.Numbers","Preservation.Method","Embargo.","Depleted.","Record.Last.Modified","EZID","Year.Collected","Species.Clean"
"727","USNM 51731","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/38379b2b5-27c8-4d89-8ace-267ac4ab0be1",1960,"Eunicea tourneforti"
"728","USNM 51732","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/380998568-3639-4c96-9a73-b68c6a11f8bd",1960,"Eunicea tourneforti"
"729","USNM 51833","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3562ba3ad-dcf1-424d-8e0c-a236fc586606",1960,"Eunicea tourneforti"
"730","USNM 51834","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/341a5f0c9-2bb9-42c7-8371-f70abd000abc",1960,"Eunicea tourneforti"
"731","USNM 51835","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","20","Tucker, T.","1 Sep 1960","","North Atlantic Ocean","","","Bermuda","","","","Somerset Island, SW Of",NA,NA,NA,"","","",NA,"","5.5 to 6.1","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"16 Jun 2016 13:13:00","http://n2t.net/ark:/65665/33eab8160-50f2-429a-b7d7-6f10141c07d3",1960,"Eunicea tourneforti"
"732","USNM 51857","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3f579a9a7-bc23-45aa-9e9f-51c4a8101533",1960,"Eunicea tourneforti"
"733","USNM 51858","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3120507e2-6900-4e63-82ce-47be30b07573",1960,"Eunicea tourneforti"
"734","USNM 51859","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/34e145a32-ebf9-4bfe-80d4-8f144728bd2a",1960,"Eunicea tourneforti"
"735","USNM 51860","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3a6620c1e-4c98-4825-97cd-bb988f4c7186",1960,"Eunicea tourneforti"
"736","USNM 51861","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3b006829f-b532-44c4-850a-afd463ca05a7",1960,"Eunicea tourneforti"
"737","USNM 51862","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/367c3c4e5-cbfe-4fa5-83e8-2220e52c7ea4",1960,"Eunicea tourneforti"
"738","USNM 51863","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","14","Tucker, T.","25 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","St. George's Island, Fort St. Catherine",NA,NA,NA,"","","",NA,"","6 to 9","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3c1b9f6fe-3f2b-4931-a806-4bb69425d220",1960,"Eunicea tourneforti"
"739","USNM 51892","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bayer, F. M.","10 Oct 1960","","North Atlantic Ocean","","","United States","Florida","","","Miami, Biscayne Bay, Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","",231965,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/35e9d9e30-e44b-4b8f-9f83-933d8d1fb278",1960,"Eunicea tourneforti"
"740","USNM 52026","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","2",NA,"Dry","","Stanton, W. A.","Aug 1898","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Reef at Spanish Caye",NA,NA,NA,"","","",NA,"","","",NA,"","","",34976,NA,NA,NA,NA,"",NA,NA,NA,"01 Apr 2016 14:57:00","http://n2t.net/ark:/65665/3773df829-fab4-445a-8435-cd422a674010",1898,"Eunicea tourneforti"
"741","USNM 52294","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","0",NA,"Dry","","","","","North Atlantic Ocean","","","United States","Florida","","","",NA,NA,NA,"","","",NA,"","","",NA,"","","",0,NA,NA,NA,NA,"",NA,NA,NA,"24 Feb 2025 18:38:00","http://n2t.net/ark:/65665/32190b84d-08fd-4ab4-bd53-eb4d691a5262",NA,"Eunicea tourneforti"
"742","USNM 52295","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bartsch, P.","8 May 1912","","North Atlantic Ocean","","","Bahamas","","","","Andros Island, Long Bay Cay, South Of South Bight",NA,NA,NA,"","","",NA,"","","",NA,"","","",54232,NA,NA,NA,NA,"",NA,NA,NA,"31 Oct 2017 17:17:00","http://n2t.net/ark:/65665/30d23963b-8e2d-4ace-98d4-fd00e8fd7209",1912,"Eunicea tourneforti"
"743","USNM 59458","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Fenical, W. H.","Apr 1980","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay",16.8,-88.08,NA,"Investigations of Marine Shallow-Water Ecosystems","","",NA,"","","",NA,"","","",327374,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3f9fc3623-992b-4248-a4c4-a219e4975880",1980,"Eunicea tourneforti"
"744","USNM 83599","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","Dec 1988","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","4",NA,"Dry","F87-25","Fenical, W. H.","Jul 1987","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys",NA,NA,NA,"","","",NA,"","8","",NA,"","","",381688,NA,NA,NA,NA,"",NA,NA,NA,"20 Oct 2014 12:40:00","http://n2t.net/ark:/65665/3619f5b46-e600-4c93-8d86-90fb979cba80",1987,"Eunicea tourneforti"
"745","USNM 87085","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Eunicea (Euniceopsis) tourneforti Milne Edwards & Haime, 1857","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","BOEM Collections; Southwest Florida Shelf Ecosystem Study; SOFLA","1 ca.",NA,"Dry","55","Lgl Ecological Research Associates Inc. And Environmental Science Engineering Inc BLM/ MMS","12 Dec 1984","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, East Of",24.6028,-82.6994,NA,"SOFLA","Suncoaster R/V","V",NA,"","27","",NA,"","5/V-55-TDS","",345592,NA,NA,NA,NA,"",NA,NA,NA,"28 Jun 2019 18:38:00","http://n2t.net/ark:/65665/3fca0b11a-5058-49cb-9337-40fe8dc28f74",1984,"Eunicea tourneforti"
"746","USNM 1007393","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, Juan A., Universidad de Los Andes (COLOMBIA)","13 Jul 2002","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","Voucher","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"DRY","96","Sanchez, J. A.","13 Jul 2000","","North Atlantic Ocean","","","Bahamas","","","","Exuma Cays, Normand Cay, Big Point",NA,NA,NA,"","","",NA,"","4","",NA,"","","",2027490,NA,NA,NA,NA,"",NA,NA,NA,"22 Jan 2025 19:03:00","http://n2t.net/ark:/65665/3f022fda2-a5a9-45e5-950d-7288f0229e52",2000,"Eunicea tourneforti"
"747","USNM 1018355","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, J.","2002","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"DRY","","Sanchez, J.; Acosta, A.","7 Aug 2002","Scuba","North Atlantic Ocean","Caribbean Sea","Man-O-War Bay","Trinidad and Tobago","","","","Tobago, Pirates Cove",NA,NA,NA,"","","",NA,"","7 to 10","",NA,"","T6","",2027480,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/37f51bf21-9faf-4b4d-a122-020ded8f0684",2002,"Eunicea tourneforti"
"748","USNM 1125126","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","","Aug 1964","","North Atlantic Ocean","Gulf of Mexico","","Mexico","Veracruz","","","Western side (lado occidental) of Arrecife La Blanquilla",NA,NA,NA,"","","",NA,"","","",NA,"","","",322031,NA,NA,NA,NA,"",NA,NA,NA,"06 Mar 2025 15:42:00","http://n2t.net/ark:/65665/386c68c15-201f-4e6a-bca8-9729aba3482a",1964,"Eunicea tourneforti"
"749","USNM 1128164","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Larson, R. J.","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Larson, R. J.","2 May 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay, 230 feet south of cay",NA,NA,NA,"CCRE - Caribbean Coral Reef Ecosystems, Belize","","",NA,"","4 to 5","",NA,"","","",NA,NA,NA,NA,NA,"",NA,NA,NA,"07 Dec 2020 22:11:00","http://n2t.net/ark:/65665/39865e54e-54ff-430e-b7d7-37a64674f884",1972,"Eunicea tourneforti"
"750","USNM 1180630","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bartsch, P.","May 1912","","North Atlantic Ocean","","","Bahamas","","","","",NA,NA,NA,"","","",NA,"","","",NA,"","","",54232,NA,NA,NA,NA,"",NA,NA,NA,"31 Oct 2017 17:17:00","http://n2t.net/ark:/65665/3473192ab-2378-4606-8b59-3f7449914a17",1912,"Eunicea tourneforti"
"751","USNM 1182971","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Larson, R. J.","29 Apr 1972","","North Atlantic Ocean","Caribbean Sea","","Belize","","","","Carrie Bow Cay",16.8,-88.08,NA,"CCRE - Caribbean Coral Reef Ecosystems, Belize","","",NA,"","1.5","Intertidal",NA,"Tag states, ""coral heads, sand, brown.""","","",300990,NA,NA,NA,NA,"",NA,NA,NA,"30 Sep 2016 15:15:00","http://n2t.net/ark:/65665/343684301-d96d-4d6c-8a51-68919152b87b",1972,"Eunicea tourneforti"
"752","USNM 1207569","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","2655","United States Fish Commission","2 May 1886","Trawl - Large Beam","North Atlantic Ocean","","","Bahamas","","","","Little Bahama Bank, Grand Cay, North of",27.3667,-78.125,NA,"","Albatross R/V","",NA,"","618","",NA,"","USFC/A2655","catalog number : 14369",NA,NA,NA,NA,NA,"",NA,NA,NA,"31 Jan 2018 19:12:00","http://n2t.net/ark:/65665/38e52132f-021f-4f09-9e25-a0aeb0c8f395",1886,"Eunicea tourneforti"
