"","Catalog.Number","Kind.of.Object","Scientific.Name","Family","Phylum","Class","Order","Identified.By","Date.Identified","Current.Identification","Other.Identifications","Type.Status","Type.Citations","Kind.of.Voucher","Classification","Common.Name","Collection.Name","Specimen.Count","Sex.and.Stage","Preparation.Details..Preparation.Remarks.","Station.Number","Collector.s.","Date.Collected","Collection.Method","Ocean","Sea.Gulf","Bay.Sound","Country","Province.State","District.County","City.Town","Precise.Locality","Centroid.Latitude","Centroid.Longitude","Elevation..m.","Expedition.Name","Vessel","Cruise","River.Basin","Microhabitat.Description","Depth..m.","Depth.Notes","Geologic.Age","Notes","Field.Number.s.","Other.Numbers..Type...Value.","Accession.Number","Genetic.Sample.Type","Biorepository.Number","Specimen.Voucher.Number","Bold.ID","GenBank.Numbers","Preservation.Method","Embargo.","Depleted.","Record.Last.Modified","EZID","Year.Collected","Species.Clean"
"782","USNM 1237810","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","27 Jan 1967","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","","","","North Atlantic Ocean","Caribbean Sea","","St. Vincent and the Grenadines","","","","",NA,NA,NA,"","","",NA,"","","",NA,"","","collection number : 07",NA,NA,NA,NA,NA,"",NA,NA,NA,"08 Apr 2014 19:57:00","http://n2t.net/ark:/65665/3670d6bb3-29b7-4432-82e7-9ffd6b7a2e69",NA,"Eunicea tourneforti"
"783","USNM 1241884","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Voh Prahl, H.","16 Jul 1984 (Julio 16 de 1984)","","North Atlantic Ocean","Caribbean Sea","","Colombia","","","","Isla De San Andres, Laguna arrecife, (""Big Reef""),",NA,NA,NA,"","","",NA,"","","",NA,"","","collector number : no 09",366451,NA,NA,NA,NA,"",NA,NA,NA,"14 May 2014 15:56:00","http://n2t.net/ark:/65665/3d5d0a48a-e14f-46fd-92d3-d3aca51df03f",1984,"Eunicea tourneforti"
"784","USNM 1241908","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","11 Aug 1960","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","3",NA,"Dry; Dry; Dry","","","","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","Port Royal, reefs south of",NA,NA,NA,"","","",NA,"","","",NA,"accession 231669","","",231669,NA,NA,NA,NA,"",NA,NA,NA,"30 Jun 2014 15:05:00","http://n2t.net/ark:/65665/37f1c3b28-a2b9-4e29-9fe4-9ae036b4b10f",NA,"Eunicea tourneforti"
"785","USNM 1250010","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Ciresko, L.","20 Dec 1961 (12-20-61)","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","collector number : #4LC",NA,NA,NA,NA,NA,"",NA,NA,NA,"01 Aug 2014 19:23:00","http://n2t.net/ark:/65665/3b5abda37-bf7e-4186-86d2-07802aeac1f4",1961,"Eunicea tourneforti"
"786","USNM 1250011","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Ciresko, L.","20 Dec 1961 (12-20-61)","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Soldier Key",NA,NA,NA,"","","",NA,"","","",NA,"","","collector number : #2LC",NA,NA,NA,NA,NA,"",NA,NA,NA,"01 Aug 2014 19:23:00","http://n2t.net/ark:/65665/3384ae2c6-a01d-423a-9896-2a1eb0a45a8c",1961,"Eunicea tourneforti"
"787","USNM 1250012","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Ciresko, L.","27 Dec 1961 (12-247-61)","","North Atlantic Ocean","","","United States","Florida","","","Florida Keys, Elliot Key, Bache Shoal",NA,NA,NA,"","","",NA,"","","",NA,"","","collector number : #7LC",NA,NA,NA,NA,NA,"",NA,NA,NA,"01 Aug 2014 19:23:00","http://n2t.net/ark:/65665/31861cd3b-4930-4f35-84c2-0edd0f8f0a82",1961,"Eunicea tourneforti"
"788","USNM 1606826","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","McFadden, Catherine S., Harvey Mudd College (UNITED STATES)","","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Coffroth, M. A.; McFadden, C. S.","30 May 2019","","North Atlantic Ocean","","","United States","Florida","","","Stag Party East, east of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys",24.7783,-80.7359,NA,"","","",NA,"","5","",NA,"","","specimen number : FLK052",2093698,NA,NA,NA,NA,"PP410699; PP410894; PP500940; PRJ1043120; SAMN38332832",NA,NA,NA,"05 Mar 2025 21:25:00","http://n2t.net/ark:/65665/3de0ae575-884e-4dbb-a952-b04833a20a81",2019,"Eunicea tourneforti"
"789","USNM 1740336","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","McFadden, Catherine S., Harvey Mudd College (UNITED STATES)","2024","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Coffroth, M. A.; McFadden, C. S.","30 May 2019","","North Atlantic Ocean","","","United States","Florida","","","Stag Party East, east of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys",24.7783,-80.7359,NA,"","","",NA,"","5","",NA,"Collection of material funded by NSF OCE-1756381 to H. Lasker and P. Edmunds.","","field number : FLK003",2095496,NA,NA,NA,NA,"",NA,NA,NA,"03 Dec 2024 21:10:00","http://n2t.net/ark:/65665/3d28adc12-c1bb-4056-92cd-a205a9841da0",2019,"Eunicea tourneforti"
"790","USNM 1740363","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","McFadden, Catherine S., Harvey Mudd College (UNITED STATES)","2024","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Coffroth, M. A.; McFadden, C. S.","1 Jun 2019","","North Atlantic Ocean","","","United States","Florida","","","Eleven-Foot Mound, west of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys",24.7229,-80.8617,NA,"","","",NA,"","5","",NA,"Collection of material funded by NSF OCE-1756381 to H. Lasker and P. Edmunds.","","field number : FLK039",2095496,NA,NA,NA,NA,"",NA,NA,NA,"03 Dec 2024 21:10:00","http://n2t.net/ark:/65665/33ceef0bf-22d1-4ab8-a5c4-43e1ae611c27",2019,"Eunicea tourneforti"
"791","USNM 1740390","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","McFadden, Catherine S., Harvey Mudd College (UNITED STATES)","2024","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Coffroth, M. A.; McFadden, C. S.","30 May 2019","","North Atlantic Ocean","","","United States","Florida","","","Stag Party East, east of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys",24.7783,-80.7359,NA,"","","",NA,"","5","",NA,"Collection of material funded by NSF OCE-1756381 to H. Lasker and P. Edmunds.","","field number : FLK072",2095496,NA,NA,NA,NA,"",NA,NA,NA,"03 Dec 2024 21:10:00","http://n2t.net/ark:/65665/3c924c08a-7b67-42e7-98fe-61571a48eff3",2019,"Eunicea tourneforti"
"792","USNM 1740407","Specimen/Lot","Eunicea tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","McFadden, Catherine S., Harvey Mudd College (UNITED STATES)","2024","Eunicea tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Coffroth, M. A.; McFadden, C. S.","1 Jun 2019","","North Atlantic Ocean","","","United States","Florida","","","Eleven-Foot Mound, west of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys",24.7229,-80.8617,NA,"","","",NA,"","5","",NA,"Collection of material funded by NSF OCE-1756381 to H. Lasker and P. Edmunds.","","field number : FLK094",2095496,NA,NA,NA,NA,"",NA,NA,NA,"03 Dec 2024 21:10:00","http://n2t.net/ark:/65665/3681382b3-e484-4f04-bd99-1534106a2ce1",2019,"Eunicea tourneforti"
"793","USNM 100610","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","Apr 2000","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Miller, M. W.","19 Mar 2000","","North Atlantic Ocean","Caribbean Sea","","","","","","Navassa Island, North Shore",NA,NA,NA,"","","",NA,"","","",NA,"","","",2016440,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/37cfebe8d-7e0e-4711-97cd-0d7973a18462",2000,"Eunicea tourneforti"
"794","USNM 50080","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Deichmann, Elizabeth","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Deichmann","15 Jul 1951","","North Atlantic Ocean","","","Bermuda","","","","Whalebone Bay",NA,NA,NA,"","","",NA,"","1","",NA,"","","",202894,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/39c8d7519-9d2e-437b-9f64-bcaa7833ef28",1951,"Eunicea tourneforti"
"795","USNM 50341","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Deichmann, E.","27 Jul 1951","","North Atlantic Ocean","","","Bermuda","","","","Somerset Island, 3 Mile South Of",NA,NA,NA,"","","",NA,"","","",NA,"","","",202894,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3a4a73bfe-bc9f-4701-bb0c-3d8e86fbc120",1951,"Eunicea tourneforti"
"796","USNM 51390","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Bengry, R. P.","2 Aug 1959","","North Atlantic Ocean","Caribbean Sea","","Jamaica","","","","Portland Bight, Pigeon Island",NA,NA,NA,"","","",NA,"","","",NA,"","","",227105,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/321764cbc-aba3-4371-9940-32f892faff83",1959,"Eunicea tourneforti"
"797","USNM 51719","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","13","Tucker, T.","23 Aug 1960","","North Atlantic Ocean","","","Bermuda","","","","Somerset Island",NA,NA,NA,"","","",NA,"","5 to 6","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3ede012c2-7771-43b7-8f29-ea8c5ffa9eb2",1960,"Eunicea tourneforti"
"798","USNM 51720","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","20","Tucker, T.","1 Sep 1960","","North Atlantic Ocean","","","Bermuda","","","","Somerset Island, SW Of",NA,NA,NA,"","","",NA,"","5.5 to 6.1","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"16 Jun 2016 13:13:00","http://n2t.net/ark:/65665/314fbff44-2885-442b-b436-02a4df5f9493",1960,"Eunicea tourneforti"
"799","USNM 51721","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","22","Tucker, T.","3 Sep 1960","","North Atlantic Ocean","","","Bermuda","","","","Bermuda Island, Southampton, South Shore",NA,NA,NA,"","","",NA,"","24 to 27","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/33c873fee-301a-4831-ad71-1e5a7bea07bc",1960,"Eunicea tourneforti"
"800","USNM 51722","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","22","Tucker, T.","3 Sep 1960","","North Atlantic Ocean","","","Bermuda","","","","Bermuda Island, Southampton, South Shore",NA,NA,NA,"","","",NA,"","24 to 27","",NA,"","","",232609,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/36566154c-0397-4408-9aec-ab70c9b304c4",1960,"Eunicea tourneforti"
"801","USNM 51723","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Schroeder, R. E.","Aug 1960","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. Croix Island, Buck Island",NA,NA,NA,"","","",NA,"","","",NA,"","","",232671,NA,NA,NA,NA,"",NA,NA,NA,"14 Jan 2013 18:22:00","http://n2t.net/ark:/65665/3bedfa493-938b-40b2-8282-fdebbb40f556",1960,"Eunicea tourneforti"
"802","USNM 87084","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","BOEM Collections; Southwest Florida Shelf Ecosystem Study; SOFLA","1 ca.",NA,"Dry","55","Lgl Ecological Research Associates Inc. And Environmental Science Engineering Inc BLM/ MMS","14 Sep 1985","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, East Of",24.6028,-82.6994,NA,"SOFLA","Suncoaster R/V","VIII",NA,"","27","",NA,"","5/VIII-55-TDS","",345592,NA,NA,NA,NA,"",NA,NA,NA,"17 Sep 2018 16:26:00","http://n2t.net/ark:/65665/3a9ddf2ce-a865-41b1-a8b9-bb9974852584",1985,"Eunicea tourneforti"
"803","USNM 97691","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, Juan A., Universidad de Los Andes (COLOMBIA)","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Eunicea tourneforti Milne Edwards & Haime, 1857","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1 ca.",NA,"Dry","","Sanchez, J. A.","17 Oct 1992","Scuba","North Atlantic Ocean","Caribbean Sea","","Colombia","","","","Rosario Islands, Tesoro Island",NA,NA,NA,"","","",NA,"Outer fore reef/fore reef slope","20","",NA,"","","",406063,NA,NA,NA,NA,"",NA,NA,NA,"20 Oct 2014 14:02:00","http://n2t.net/ark:/65665/33286c067-cf8d-46cf-b646-a9f25dc78410",1992,"Eunicea tourneforti"
"804","USNM 1606824","Specimen/Lot","Eunicea tourneforti atra Verrill, 1901","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","McFadden, Catherine S., Harvey Mudd College (UNITED STATES)","","Eunicea tourneforti atra Verrill, 1901 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Coffroth, M. A.; McFadden, C. S.","1 Jun 2019","","North Atlantic Ocean","","","United States","Florida","","","Eleven-Foot Mound, west of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys",24.7229,-80.8617,NA,"","","",NA,"","5","",NA,"","","specimen number : FLK037",2093698,NA,NA,NA,NA,"PP410698; PP410893; PP500938; PRJ1043120; SAMN38332830",NA,NA,NA,"05 Mar 2025 21:25:00","http://n2t.net/ark:/65665/324ea6aaa-00aa-4d91-bc26-5ba1b49104fb",2019,"Eunicea tourneforti"
"805","USNM 50275","Specimen/Lot","Eunicea tourneforti tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Eunicea tourneforti Milne Edwards & Haime, 1857","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","7",NA,"Dry; SEM Stub:Bayer 2670; SEM Stub:Bayer 2671; SEM Stub:Bayer 2672","","","1925","","North Atlantic Ocean","Gulf of Mexico","","United States","Florida","","","Florida Keys, Dry Tortugas",24.67,-81.58,NA,"","","",NA,"","","",NA,"","","",0,NA,NA,NA,NA,"",NA,NA,NA,"22 Aug 2024 21:34:00","http://n2t.net/ark:/65665/37a83bbbb-722f-471e-bc68-ed4c3b26754f",1925,"Eunicea tourneforti"
"806","USNM 83597","Specimen/Lot","Eunicea tourneforti tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Eunicea tourneforti Milne Edwards & Haime, 1857","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","3",NA,"Dry","CI-229","Fenical, W. H.","Jul 1986","","North Atlantic Ocean","Caribbean Sea","","St. Vincent and the Grenadines","","","","Tobago Cays",NA,NA,NA,"","","",NA,"","15","",NA,"","","",381688,NA,NA,NA,NA,"",NA,NA,NA,"20 Oct 2014 12:40:00","http://n2t.net/ark:/65665/34a011de3-1b9d-4aab-b4f2-e69bd02febdc",1986,"Eunicea tourneforti"
"807","USNM 97690","Specimen/Lot","Eunicea tourneforti tourneforti Milne Edwards & Haime, 1857","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Eunicea tourneforti tourneforti Milne Edwards & Haime, 1857 : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Eunicea tourneforti Milne Edwards & Haime, 1857","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","","1",NA,"Dry","","Sanchez, J. A.; Ramirez, A.","20 Jul 1992","Scuba","North Atlantic Ocean","Caribbean Sea","","Colombia","","","","Rosario Islands, Tesoro Island",NA,NA,NA,"","","",NA,"Inner fore reef","7","",NA,"","","",406063,NA,NA,NA,NA,"",NA,NA,NA,"20 Oct 2014 14:02:00","http://n2t.net/ark:/65665/3f77bd91b-5f01-4662-8852-96c4ea41c90d",1992,"Eunicea tourneforti"
